,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,ABSLFC,FC
ENSG00000160972,28.9084989436236,1.14183018170277,0.286054563356247,3.99165169157173,6.56146966237506e-05,0.000249946893125507,1.14183018170277,2.2066077270445
ENSG00000161048,91.1855308583458,1.25843661038121,0.249174998253609,5.05041283917408,4.40856234931378e-07,2.57905256245796e-06,1.25843661038121,2.39236349754379
ENSG00000161267,20.0092869756495,2.44822478236771,0.446780563824405,5.47970296964378,4.26040457150726e-08,3.04792536448223e-07,2.44822478236771,5.45744158232236
ENSG00000161277,32.1774996124876,1.69777576793805,0.357638522538156,4.74718370909532,2.06268589101309e-06,1.06875745477481e-05,1.69777576793805,3.24400438107716
ENSG00000161513,5.88432718085819,2.04519953601157,0.780777621190997,2.61943923660596,0.00880744618695555,0.0197277608203255,2.04519953601157,4.12730351609917
ENSG00000161547,2110.03893709053,-1.09353538851338,0.121170889924051,-9.02473679279576,1.80127860332407e-19,6.35254442333587e-18,1.09353538851338,-2.13396333501749
ENSG00000161642,1758.83767466537,1.93337632104865,0.263762306355144,7.32999475082482,2.30161746705189e-13,3.74043941334675e-12,1.93337632104865,3.81948022228662
ENSG00000161714,11.0652139527845,1.40837395313337,0.478396553972285,2.94394669325934,0.00324055809509568,0.00828464108240235,1.40837395313337,2.65437821897064
ENSG00000161800,111.785565353617,1.17371428408805,0.164802263301609,7.1219548844424,1.06406890960635e-12,1.5798139144353e-11,1.17371428408805,2.2559174616051
ENSG00000161835,12.8784146407077,-1.26308613500497,0.455778173279728,-2.77127385437514,0.00558374436048122,0.0133525769892916,1.26308613500497,-2.40008605577277
ENSG00000161905,19.5545937126867,-1.08472278005963,0.455660272419214,-2.38055157694693,0.0172867408823918,0.035555044612903,1.08472278005963,-2.12096789064661
ENSG00000161911,14.0148799758817,-1.81664814192226,0.515619972645182,-3.52323074803072,0.000426320019880645,0.00136245669919868,1.81664814192226,-3.522618262357
ENSG00000161929,91.4175911227083,1.89163204860546,0.389487681783237,4.85671854869653,1.19347043304223e-06,6.45354110960696e-06,1.89163204860546,3.71054743058442
ENSG00000161944,25.4694784651913,-2.24883761353129,0.42462793841295,-5.29601896176765,1.18354553541672e-07,7.77776973165108e-07,2.24883761353129,-4.75299740355324
ENSG00000161955,58.0383805594717,1.4312452160939,0.304718862149752,4.69693673045591,2.64092211065731e-06,1.33781505066406e-05,1.4312452160939,2.69679380083975
ENSG00000162063,28.0541008617287,1.83189982498191,0.294227048383894,6.22614350055177,4.78056234335824e-10,4.65137886255875e-09,1.83189982498191,3.56005572828647
ENSG00000162065,71.746765049033,2.4118612110577,0.334882159653997,7.20211913811609,5.92838561818168e-13,9.16385159951837e-12,2.4118612110577,5.32160419517894
ENSG00000162066,137.446110904657,1.14687878501667,0.264124193238784,4.34219512780422,1.41066159648946e-05,6.21414518658692e-05,1.14687878501667,2.21434311243401
ENSG00000162073,123.230718432238,1.69899987107655,0.234394066618916,7.24847644645727,4.21485707156692e-13,6.59998322170102e-12,1.69899987107655,3.24675803376929
ENSG00000162076,37.811446130559,1.86590590005391,0.326265709572335,5.71897642108856,1.07167663534452e-08,8.50691961495262e-08,1.86590590005391,3.64496737138877
ENSG00000162222,110.34930928701,1.18051013989795,0.172132783762762,6.85813657394259,6.97645480164393e-12,8.89701436315693e-11,1.18051013989795,2.26656909234536
ENSG00000162241,34.2093491831043,-1.02047097172663,0.254768889893087,-4.00547716856195,6.18924121194165e-05,0.000236968528541262,1.02047097172663,-2.02858108732018
ENSG00000162378,546.90308926766,1.21080123802274,0.228441341962019,5.30027195438228,1.15630312589984e-07,7.61122134212996e-07,1.21080123802274,2.31466151807603
ENSG00000162390,85.8670170762474,1.45728888287211,0.323689410343632,4.50212097246258,6.72786668811009e-06,3.16546654112723e-05,1.45728888287211,2.74591864567837
ENSG00000162413,571.20753360114,1.78176421333698,0.11900044790485,14.9727521594006,1.10645997119951e-50,6.65314380682266e-48,1.78176421333698,3.43846393417315
ENSG00000162434,5239.86289257998,-1.0821496591039,0.119983247134372,-9.0191729674725,1.89514571339203e-19,6.66404162258846e-18,1.0821496591039,-2.11718840656229
ENSG00000162444,44.1664604646172,-1.15231140202281,0.378082643523484,-3.04777651595964,0.00230541311532681,0.00612442322620709,1.15231140202281,-2.22269716901684
ENSG00000162493,912.818175379408,1.70194165773458,0.285630022369119,5.95855310873157,2.54480948947803e-09,2.19697623262475e-08,1.70194165773458,3.25338522369598
ENSG00000162522,55.0142343822917,1.35396903202773,0.373465651679592,3.6254178287575,0.000288494621440335,0.000957878607797204,1.35396903202773,2.55614385726229
ENSG00000162600,93.7099439718276,1.35236852240188,0.218665875190653,6.184634530755,6.22465096624473e-10,5.94108353333802e-09,1.35236852240188,2.55330967246
ENSG00000162636,458.768897502561,-1.4036765138928,0.17978557479832,-7.80750355231456,5.83318327431926e-15,1.19099935580583e-13,1.4036765138928,-2.64574957411713
