Gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,ABSLFC,FC
ENSG00000075884,135.9864914,-1.070767055,0.191515307,-5.591025959,2.26E-08,1.34E-07,1.070767055,-2.100549896
ENSG00000076067,34.89268428,-1.786862165,0.333447214,-5.358755722,8.38E-08,4.68E-07,1.786862165,-3.450635688
ENSG00000076248,50.10933646,-1.123317296,0.26869276,-4.180675709,2.91E-05,0.000108583,1.123317296,-2.178473096
ENSG00000076351,91.03875601,-4.990859609,0.628498461,-7.940925745,2.01E-15,2.59E-14,4.990859609,-31.79790053
ENSG00000076555,15.75499148,-2.385403531,0.400029661,-5.963066655,2.48E-09,1.65E-08,2.385403531,-5.224900383
ENSG00000076641,1307.74578,1.28220578,0.193925337,6.611852786,3.80E-11,3.10E-10,1.28220578,2.432105447
ENSG00000076662,127.010232,-1.052967303,0.230106631,-4.575997222,4.74E-06,2.01E-05,1.052967303,-2.07479285
ENSG00000076770,186.2183365,-1.912934146,0.206670203,-9.255974571,2.12E-20,4.14E-19,1.912934146,-3.765741962
ENSG00000077063,19.14654112,-4.230477898,0.527730109,-8.016366373,1.09E-15,1.44E-14,4.230477898,-18.77157632
ENSG00000077150,2770.164483,2.843071297,0.178998263,15.883234,8.28E-57,1.20E-54,2.843071297,7.175459876
ENSG00000077348,48.4703888,-1.166815425,0.221468575,-5.268537208,1.38E-07,7.43E-07,1.166815425,-2.245155587
ENSG00000077420,331.4374529,-1.826550486,0.259054528,-7.050834057,1.78E-12,1.68E-11,1.826550486,-3.546879914
ENSG00000077585,2715.249869,1.061166886,0.16440484,6.454596376,1.09E-10,8.39E-10,1.061166886,2.086618546
ENSG00000078043,149.0278969,-1.070670532,0.127831623,-8.375631244,5.49E-17,8.03E-16,1.070670532,-2.100409363
ENSG00000078053,8.888734865,5.50293778,1.082282827,5.084565368,3.68E-07,1.86E-06,5.50293778,45.34708092
